"Sample_name"	"Comment"	"Flask_number"	"Replicate_number"	"Colony_count"	"Volume_plated_mL"	"Dilution_applied"	"CFU_mL"
"0-8.3-B"	"2024-05-28_0hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	1	246	0.1	100009	246022140
"0-8.3-B"	"2024-05-28_0hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	2	327	0.1	100010	327032700
"0-8.3-B"	"2024-05-28_0hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	3	281	0.1	100011	281030910
"24-5.3-B"	"2024-05-29_24hr_Wire+10%inoc_5_A-F"	5.3	1	561	0.1	1e+05	5.61e+08
"24-5.3-B"	"2024-05-29_24hr_Wire+10%inoc_5_A-F"	5.3	2	489	0.1	1e+05	4.89e+08
"24-5.3-B"	"2024-05-29_24hr_Wire+10%inoc_5_A-F"	5.3	3	554	0.1	1e+05	5.54e+08
"24-6.3-B"	"2024-05-29_24hr_NoWire+10%inoc_6_A-F"	6.3	1	340	0.1	1e+06	3.4e+09
"24-6.3-B"	"2024-05-29_24hr_NoWire+10%inoc_6_A-F"	6.3	2	319	0.1	1e+06	3.19e+09
"24-6.3-B"	"2024-05-29_24hr_NoWire+10%inoc_6_A-F"	6.3	3	321	0.1	1e+06	3.21e+09
"24-7.3-B"	"2024-05-29_24hr_Wire+10%inoc+DMSO_7_A-F"	7.3	1	421	0.1	1e+05	4.21e+08
"24-7.3-B"	"2024-05-29_24hr_Wire+10%inoc+DMSO_7_A-F"	7.3	2	396	0.1	1e+05	3.96e+08
"24-7.3-B"	"2024-05-29_24hr_Wire+10%inoc+DMSO_7_A-F"	7.3	3	371	0.1	1e+05	3.71e+08
"24-8.3-B"	"2024-05-29_24hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	1	218	0.1	1e+06	2.18e+09
"24-8.3-B"	"2024-05-29_24hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	2	328	0.1	1e+06	3.28e+09
"24-8.3-B"	"2024-05-29_24hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	3	257	0.1	1e+06	2.57e+09
"72-5.3-B"	"2024-05-31_72hr_Wire+10%inoc_5_A-F"	5.3	1	0	0.1	1e+05	0
"72-5.3-B"	"2024-05-31_72hr_Wire+10%inoc_5_A-F"	5.3	2	0	0.1	1e+05	0
"72-5.3-B"	"2024-05-31_72hr_Wire+10%inoc_5_A-F"	5.3	3	1	0.1	1e+05	1e+06
"72-6.3-B"	"2024-05-31_72hr_NoWire+10%inoc_6_A-F"	6.3	1	538	0.1	1e+06	5.38e+09
"72-6.3-B"	"2024-05-31_72hr_NoWire+10%inoc_6_A-F"	6.3	2	582	0.1	1e+06	5.82e+09
"72-6.3-B"	"2024-05-31_72hr_NoWire+10%inoc_6_A-F"	6.3	3	565	0.1	1e+06	5.65e+09
"72-7.3-B"	"2024-05-31_72hr_Wire+10%inoc+DMSO_7_A-F"	7.3	1	375	0.1	1e+05	3.75e+08
"72-7.3-B"	"2024-05-31_72hr_Wire+10%inoc+DMSO_7_A-F"	7.3	2	377	0.1	1e+05	3.77e+08
"72-7.3-B"	"2024-05-31_72hr_Wire+10%inoc+DMSO_7_A-F"	7.3	3	367	0.1	1e+05	3.67e+08
"72-8.3-B"	"2024-05-31_72hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	1	169	0.1	1e+06	1.69e+09
"72-8.3-B"	"2024-05-31_72hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	2	158	0.1	1e+06	1.58e+09
"72-8.3-B"	"2024-05-31_72hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	3	195	0.1	1e+06	1.95e+09
"168-5.3-B"	"2024-06-04_168hr_Wire+10%inoc_5_A-F"	5.3	1	0	0.1	1e+05	0
"168-5.3-B"	"2024-06-04_168hr_Wire+10%inoc_5_A-F"	5.3	2	0	0.1	1e+05	0
"168-5.3-B"	"2024-06-04_168hr_Wire+10%inoc_5_A-F"	5.3	3	5	0.1	1e+05	5e+06
"168-6.3-B"	"2024-06-04_168hr_NoWire+10%inoc_6_A-F"	6.3	1	404	0.1	1e+06	4.04e+09
"168-6.3-B"	"2024-06-04_168hr_NoWire+10%inoc_6_A-F"	6.3	2	415	0.1	1e+06	4.15e+09
"168-6.3-B"	"2024-06-04_168hr_NoWire+10%inoc_6_A-F"	6.3	3	385	0.1	1e+06	3.85e+09
"168-7.3-B"	"2024-06-04_168hr_Wire+10%inoc+DMSO_7_A-F"	7.3	1	58	0.1	1e+05	5.8e+07
"168-7.3-B"	"2024-06-04_168hr_Wire+10%inoc+DMSO_7_A-F"	7.3	2	63	0.1	1e+05	6.3e+07
"168-7.3-B"	"2024-06-04_168hr_Wire+10%inoc+DMSO_7_A-F"	7.3	3	56	0.1	1e+05	5.6e+07
"168-8.3-B"	"2024-06-04_168hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	1	115	0.1	1e+06	1.15e+09
"168-8.3-B"	"2024-06-04_168hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	2	105	0.1	1e+06	1.05e+09
"168-8.3-B"	"2024-06-04_168hr_NoWire+10%inoc+DMSO_8_A-F"	8.3	3	107	0.1	1e+06	1.07e+09
"0-5.5-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	5.5	1	511	0.1	1e+05	5.11e+08
"0-5.5-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	5.5	2	492	0.1	100001	492004920
"0-5.5-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	5.5	3	534	0.1	100002	534010680
"0-5.6-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	5.6	1	396	0.1	100003	396011880
"0-5.6-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	5.6	2	392	0.1	100004	392015680
"0-5.6-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	5.6	3	390	0.1	100005	390019500
"0-6.5-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	6.5	1	424	0.1	100006	424025440
"0-6.5-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	6.5	2	406	0.1	100007	406028420
"0-6.5-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	6.5	3	416	0.1	100008	416033280
"0-6.6-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	6.6	1	591	0.1	100009	591053190
"0-6.6-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	6.6	2	496	0.1	100010	496049600
"0-6.6-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	6.6	3	480	0.1	100011	480052800
"24-5.5-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	5.5	1	584	0.1	100011	584064240
"24-5.5-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	5.5	2	634	0.1	100011	634069740
"24-5.5-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	5.5	3	583	0.1	100011	583064130
"24-5.6-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	5.6	1	489	0.1	100011	489053790
"24-5.6-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	5.6	2	500	0.1	100011	500055000
"24-5.6-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	5.6	3	511	0.1	100011	511056210
"24-6.5-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	6.5	1	572	0.1	1e+06	5.72e+09
"24-6.5-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	6.5	2	646	0.1	1e+06	6.46e+09
"24-6.5-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	6.5	3	567	0.1	1e+06	5.67e+09
"24-6.6-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	6.6	1	803	0.1	1e+06	8.03e+09
"24-6.6-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	6.6	2	720	0.1	1e+06	7.2e+09
"24-6.6-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	6.6	3	732	0.1	1e+06	7.32e+09
"72-5.5-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	5.5	1	29	0.1	1e+05	2.9e+07
"72-5.5-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	5.5	2	26	0.1	1e+05	2.6e+07
"72-5.5-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	5.5	3	22	0.1	1e+05	2.2e+07
"72-5.6-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	5.6	1	2	0.1	1e+05	2e+06
"72-5.6-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	5.6	2	9	0.1	1e+05	9e+06
"72-5.6-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	5.6	3	10	0.1	1e+05	1e+07
"72-6.5-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	6.5	1	46	0.1	1e+07	4.6e+09
"72-6.5-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	6.5	2	65	0.1	1e+07	6.5e+09
"72-6.5-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	6.5	3	47	0.1	1e+07	4.7e+09
"72-6.6-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	6.6	1	56	0.1	1e+07	5.6e+09
"72-6.6-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	6.6	2	74	0.1	1e+07	7.4e+09
"72-6.6-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	6.6	3	65	0.1	1e+07	6.5e+09
"168-5.5-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	5.5	1	20	0.1	10000	2e+06
"168-5.5-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	5.5	2	19	0.1	10000	1900000
"168-5.5-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	5.5	3	25	0.1	10000	2500000
"168-5.6-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	5.6	1	105	0.1	10000	10500000
"168-5.6-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	5.6	2	21	0.1	10000	2100000
"168-5.6-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	5.6	3	35	0.1	10000	3500000
"168-6.5-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	6.5	1	411	0.1	1e+06	4.11e+09
"168-6.5-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	6.5	2	434	0.1	1e+06	4.34e+09
"168-6.5-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	6.5	3	405	0.1	1e+06	4.05e+09
"168-6.6-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	6.6	1	348	0.1	1e+06	3.48e+09
"168-6.6-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	6.6	2	389	0.1	1e+06	3.89e+09
"168-6.6-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	6.6	3	401	0.1	1e+06	4.01e+09
"0-1.1-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.1	1	87	0.1	1e+06	8.7e+08
"0-1.1-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.1	2	48	0.1	1e+06	4.8e+08
"0-1.1-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.1	3	80	0.1	1e+06	8e+08
"0-1.2-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.2	1	90	0.1	1e+06	9e+08
"0-1.2-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.2	2	61	0.1	1e+06	6.1e+08
"0-1.2-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.2	3	55	0.1	1e+06	5.5e+08
"0-1.3-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.3	1	86	0.1	1e+06	8.6e+08
"0-1.3-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.3	2	74	0.1	1e+06	7.4e+08
"0-1.3-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.3	3	76	0.1	1e+06	7.6e+08
"0-1.4-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.4	1	69	0.1	1e+06	6.9e+08
"0-1.4-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.4	2	70	0.1	1e+06	7e+08
"0-1.4-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	1.4	3	78	0.1	1e+06	7.8e+08
"0-2.1-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.1	1	102	0.1	1e+06	1.02e+09
"0-2.1-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.1	2	70	0.1	1e+06	7e+08
"0-2.1-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.1	3	74	0.1	1e+06	7.4e+08
"0-2.2-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.2	1	86	0.1	1e+06	8.6e+08
"0-2.2-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.2	2	79	0.1	1e+06	7.9e+08
"0-2.2-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.2	3	88	0.1	1e+06	8.8e+08
"0-2.3-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.3	1	77	0.1	1e+06	7.7e+08
"0-2.3-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.3	2	80	0.1	1e+06	8e+08
"0-2.3-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.3	3	50	0.1	1e+06	5e+08
"0-2.4-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.4	1	74	0.1	1e+06	7.4e+08
"0-2.4-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.4	2	72	0.1	1e+06	7.2e+08
"0-2.4-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	2.4	3	78	0.1	1e+06	7.8e+08
"24-1.1-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.1	1	50	0.1	1e+06	5e+08
"24-1.1-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.1	2	54	0.1	1e+06	5.4e+08
"24-1.1-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.1	3	29	0.1	1e+06	2.9e+08
"24-1.2-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.2	1	60	0.1	1e+06	6e+08
"24-1.2-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.2	2	64	0.1	1e+06	6.4e+08
"24-1.2-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.2	3	56	0.1	1e+06	5.6e+08
"24-1.3-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.3	1	67	0.1	1e+06	6.7e+08
"24-1.3-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.3	2	47	0.1	1e+06	4.7e+08
"24-1.3-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.3	3	50	0.1	1e+06	5e+08
"24-1.4-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.4	1	39	0.1	1e+06	3.9e+08
"24-1.4-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.4	2	69	0.1	1e+06	6.9e+08
"24-1.4-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	1.4	3	53	0.1	1e+06	5.3e+08
"24-2.1-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.1	1	78	0.1	1e+07	7.8e+09
"24-2.1-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.1	2	76	0.1	1e+07	7.6e+09
"24-2.1-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.1	3	68	0.1	1e+07	6.8e+09
"24-2.2-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.2	1	78	0.1	1e+07	7.8e+09
"24-2.2-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.2	2	85	0.1	1e+07	8.5e+09
"24-2.2-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.2	3	79	0.1	1e+07	7.9e+09
"24-2.3-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.3	1	66	0.1	1e+07	6.6e+09
"24-2.3-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.3	2	70	0.1	1e+07	7e+09
"24-2.3-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.3	3	74	0.1	1e+07	7.4e+09
"24-2.4-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.4	1	76	0.1	1e+07	7.6e+09
"24-2.4-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.4	2	60	0.1	1e+07	6e+09
"24-2.4-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	2.4	3	56	0.1	1e+07	5.6e+09
"72-1.1-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.1	1	268	0.1	1e+05	2.68e+08
"72-1.1-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.1	2	304	0.1	1e+05	3.04e+08
"72-1.1-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.1	3	200	0.1	1e+05	2e+08
"72-1.2-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.2	1	150	0.1	1e+05	1.5e+08
"72-1.2-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.2	2	139	0.1	1e+05	1.39e+08
"72-1.2-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.2	3	110	0.1	1e+05	1.1e+08
"72-1.3-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.3	1	92	0.1	1e+05	9.2e+07
"72-1.3-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.3	2	102	0.1	1e+05	1.02e+08
"72-1.3-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.3	3	116	0.1	1e+05	1.16e+08
"72-1.4-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.4	1	130	0.1	1e+05	1.3e+08
"72-1.4-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.4	2	148	0.1	1e+05	1.48e+08
"72-1.4-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	1.4	3	92	0.1	1e+05	9.2e+07
"72-2.1-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.1	1	79	0.1	1e+07	7.9e+09
"72-2.1-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.1	2	94	0.1	1e+07	9.4e+09
"72-2.1-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.1	3	84	0.1	1e+07	8.4e+09
"72-2.2-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.2	1	77	0.1	1e+07	7.7e+09
"72-2.2-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.2	2	81	0.1	1e+07	8.1e+09
"72-2.2-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.2	3	68	0.1	1e+07	6.8e+09
"72-2.3-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.3	1	90	0.1	1e+07	9e+09
"72-2.3-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.3	2	99	0.1	1e+07	9.9e+09
"72-2.3-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.3	3	108	0.1	1e+07	1.08e+10
"72-2.4-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.4	1	75	0.1	1e+07	7.5e+09
"72-2.4-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.4	2	90	0.1	1e+07	9e+09
"72-2.4-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	2.4	3	97	0.1	1e+07	9.7e+09
