"Sample Name"	"Comment"	"Time"	"Wire_treatment"	"Abiotic_vs_biotic"	"Replicate"	"Metabolite"	"Concentration_ug_mL"	"Mean_concentration_ug_mL"	"Median_concentration_ug_mL"	"Stdev_concentration_ug_mL"
"0-1.2-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	0	"Wire included"	"∆phz"	"Replicate 2"	"PCA"	0	0	0	0
"0-2.1-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	0	"No wire"	"∆phz"	"Replicate 1"	"PCA"	0	0	0	0
"0-2.2-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	0	"No wire"	"∆phz"	"Replicate 2"	"PCA"	0	0	0	0
"24-1.1-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	24	"Wire included"	"∆phz"	"Replicate 1"	"PCA"	0	0	0	0
"24-1.2-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	24	"Wire included"	"∆phz"	"Replicate 1"	"PCA"	0	0	0	0
"24-2.1-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	24	"No wire"	"∆phz"	"Replicate 2"	"PCA"	0	0	0	0
"24-2.2-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	24	"No wire"	"∆phz"	"Replicate 2"	"PCA"	0	0	0	0
"72-1.1-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	72	"Wire included"	"∆phz"	"Replicate 1"	"PCA"	0	0	0	0
"72-1.2-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	72	"Wire included"	"∆phz"	"Replicate 2"	"PCA"	0	0	0	0
"72-2.1-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	72	"No wire"	"∆phz"	"Replicate 1"	"PCA"	0	0	0	0
"72-2.2-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	72	"No wire"	"∆phz"	"Replicate 2"	"PCA"	0	0	0	0
"168-1.1-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	168	"Wire included"	"∆phz"	"Replicate 1"	"PCA"	0	0	0	0
"168-1.2-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	168	"Wire included"	"∆phz"	"Replicate 2"	"PCA"	0	0	0	0
"168-2.1-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	168	"No wire"	"∆phz"	"Replicate 1"	"PCA"	0	0	0	0
"168-2.2-P"	"2025-03-25_168hr_NoWire+10%inoc∆phz_2_A-F"	168	"No wire"	"∆phz"	"Replicate 2"	"PCA"	0	0	0	0
"0-5.5-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	0	"Wire included"	"Wild type"	"Replicate 1"	"2-OHPCA"	0	0.0683024520609835	0.0683024520609835	0.0965942540479811
"0-5.6-B"	"2025-01-14_0hr_Wire+10%inoc_5_A-F"	0	"Wire included"	"Wild type"	"Replicate 2"	"2-OHPCA"	0.136604904121967	0.0683024520609835	0.0683024520609835	0.0965942540479811
"0-6.5-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	0	"No wire"	"Wild type"	"Replicate 1"	"2-OHPCA"	0.155492010470709	0.21196689332774	0.21196689332774	0.079867545269845
"0-6.6-B"	"2025-01-14_0hr_NoWire+10%inoc_6_A-F"	0	"No wire"	"Wild type"	"Replicate 2"	"2-OHPCA"	0.268441776184771	0.21196689332774	0.21196689332774	0.079867545269845
"24-5.5-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	24	"Wire included"	"Wild type"	"Replicate 1"	"2-OHPCA"	0.246700118786704	0.248994828271743	0.248994828271743	0.00324520927544826
"24-5.6-B"	"2025-01-15_24hr_Wire+10%inoc_5_A-F"	24	"Wire included"	"Wild type"	"Replicate 2"	"2-OHPCA"	0.251289537756782	0.248994828271743	0.248994828271743	0.00324520927544826
"24-6.5-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	24	"No wire"	"Wild type"	"Replicate 1"	"2-OHPCA"	0.325560105984049	0.358907709610526	0.358907709610526	0.0471606333212066
"24-6.6-B"	"2025-01-15_24hr_NoWire+10%inoc_6_A-F"	24	"No wire"	"Wild type"	"Replicate 2"	"2-OHPCA"	0.392255313237004	0.358907709610526	0.358907709610526	0.0471606333212066
"72-5.5-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	72	"Wire included"	"Wild type"	"Replicate 1"	"2-OHPCA"	0.375076294147507	0.340716077950176	0.340716077950176	0.0485926837523368
"72-5.6-B"	"2025-01-17_72hr_Wire+10%inoc_5_A-F"	72	"Wire included"	"Wild type"	"Replicate 2"	"2-OHPCA"	0.306355861752845	0.340716077950176	0.340716077950176	0.0485926837523368
"72-6.5-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	72	"No wire"	"Wild type"	"Replicate 1"	"2-OHPCA"	0.330681758500662	0.473463729930058	0.473463729930058	0.201924200457819
"72-6.6-B"	"2025-01-17_72hr_NoWire+10%inoc_6_A-F"	72	"No wire"	"Wild type"	"Replicate 2"	"2-OHPCA"	0.616245701359453	0.473463729930058	0.473463729930058	0.201924200457819
"168-5.5-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	168	"Wire included"	"Wild type"	"Replicate 1"	"2-OHPCA"	0.139142249452887	0.0695711247264433	0.0695711247264433	0.0983884281376863
"168-5.6-B"	"2025-01-21_168hr_Wire+10%inoc_5_A-F"	168	"Wire included"	"Wild type"	"Replicate 2"	"2-OHPCA"	0	0.0695711247264433	0.0695711247264433	0.0983884281376863
"168-6.5-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	168	"No wire"	"Wild type"	"Replicate 1"	"2-OHPCA"	0.116492249386293	0.262388783403343	0.262388783403343	0.20632885711014
"168-6.6-B"	"2025-01-21_168hr_NoWire+10%inoc_6_A-F"	168	"No wire"	"Wild type"	"Replicate 2"	"2-OHPCA"	0.408285317420394	0.262388783403343	0.262388783403343	0.20632885711014
"0-3.1-S"	"2024-06-25_0hr_SpentMedia_3_A-F"	0	"No wire"	"Spent medium"	"Replicate 1"	"2-OHPCA"	0.881247202244291	0.806371343508161	0.806371343508161	0.105890454918966
"0-3.2-S"	"2024-06-25_0hr_SpentMedia_3_A-F"	0	"No wire"	"Spent medium"	"Replicate 2"	"2-OHPCA"	0.731495484772032	0.806371343508161	0.806371343508161	0.105890454918966
"0-4.1-S"	"2024-06-25_0hr_Wire+SpentMedia_4_A-F"	0	"Wire included"	"Spent medium"	"Replicate 1"	"2-OHPCA"	0.952401284928888	1.07744501769372	1.07744501769372	0.176838542765786
"0-4.2-S"	"2024-06-25_0hr_Wire+SpentMedia_4_A-F"	0	"Wire included"	"Spent medium"	"Replicate 2"	"2-OHPCA"	1.20248875045856	1.07744501769372	1.07744501769372	0.176838542765786
"24-3.1-S"	"2024-06-26_24hr_SpentMedia_3_A-F"	24	"No wire"	"Spent medium"	"Replicate 1"	"2-OHPCA"	0.760844143592126	0.721391256899546	0.721391256899546	0.0557948074354147
"24-3.2-S"	"2024-06-26_24hr_SpentMedia_3_A-F"	24	"No wire"	"Spent medium"	"Replicate 2"	"2-OHPCA"	0.681938370206967	0.721391256899546	0.721391256899546	0.0557948074354147
"24-4.1-S"	"2024-06-26_24hr_Wire+SpentMedia_4_A-F"	24	"Wire included"	"Spent medium"	"Replicate 1"	"2-OHPCA"	0.614459167801584	0.694798610951592	0.694798610951592	0.113617130096245
"24-4.2-S"	"2024-06-26_24hr_Wire+SpentMedia_4_A-F"	24	"Wire included"	"Spent medium"	"Replicate 2"	"2-OHPCA"	0.775138054101601	0.694798610951592	0.694798610951592	0.113617130096245
"72-3.1-S"	"2024-06-28_72hr_SpentMedia_3_A-F"	72	"No wire"	"Spent medium"	"Replicate 1"	"2-OHPCA"	0.282354298228762	0.141177149114381	0.141177149114381	0.199654638974726
"72-3.2-S"	"2024-06-28_72hr_SpentMedia_3_A-F"	72	"No wire"	"Spent medium"	"Replicate 2"	"2-OHPCA"	0	0.141177149114381	0.141177149114381	0.199654638974726
"72-4.1-S"	"2024-06-28_72hr_Wire+SpentMedia_4_A-F"	72	"Wire included"	"Spent medium"	"Replicate 1"	"2-OHPCA"	0	0	0	0
"72-4.2-S"	"2024-06-28_72hr_Wire+SpentMedia_4_A-F"	72	"Wire included"	"Spent medium"	"Replicate 2"	"2-OHPCA"	0	0	0	0
"168-3.1-S"	"2024-07-02_168hr_SpentMedia_3_A-F"	168	"No wire"	"Spent medium"	"Replicate 1"	"2-OHPCA"	0	0.0989678559910451	0.0989678559910451	0.139961684181523
"168-3.2-S"	"2024-07-02_168hr_SpentMedia_3_A-F"	168	"No wire"	"Spent medium"	"Replicate 2"	"2-OHPCA"	0.19793571198209	0.0989678559910451	0.0989678559910451	0.139961684181523
"168-4.1-S"	"2024-07-02_168hr_Wire+SpentMedia_4_A-F"	168	"Wire included"	"Spent medium"	"Replicate 1"	"2-OHPCA"	0	0.0934561259101477	0.0934561259101477	0.132166920748979
"168-4.2-S"	"2024-07-02_168hr_Wire+SpentMedia_4_A-F"	168	"Wire included"	"Spent medium"	"Replicate 2"	"2-OHPCA"	0.186912251820295	0.0934561259101477	0.0934561259101477	0.132166920748979
"0-1.1-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	0	"Wire included"	"∆phz"	"Replicate 1"	"2-OHPCA"	0	0	0	0
"0-1.2-P"	"2025-03-18_0hr_Wire+10%inoc∆phz_1_A-F"	0	"Wire included"	"∆phz"	"Replicate 2"	"2-OHPCA"	0	0	0	0
"0-2.1-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	0	"No wire"	"∆phz"	"Replicate 1"	"2-OHPCA"	0	0	0	0
"0-2.2-P"	"2025-03-18_0hr_NoWire+10%inoc∆phz_2_A-F"	0	"No wire"	"∆phz"	"Replicate 2"	"2-OHPCA"	0	0	0	0
"24-1.1-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	24	"Wire included"	"∆phz"	"Replicate 1"	"2-OHPCA"	0	0	0	0
"24-1.2-P"	"2025-03-19_24hr_Wire+10%inoc∆phz_1_A-F"	24	"Wire included"	"∆phz"	"Replicate 1"	"2-OHPCA"	0	0	0	0
"24-2.1-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	24	"No wire"	"∆phz"	"Replicate 2"	"2-OHPCA"	0	0	0	0
"24-2.2-P"	"2025-03-19_24hr_NoWire+10%inoc∆phz_2_A-F"	24	"No wire"	"∆phz"	"Replicate 2"	"2-OHPCA"	0	0	0	0
"72-1.1-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	72	"Wire included"	"∆phz"	"Replicate 1"	"2-OHPCA"	0	0	0	0
"72-1.2-P"	"2025-03-21_72hr_Wire+10%inoc∆phz_1_A-F"	72	"Wire included"	"∆phz"	"Replicate 2"	"2-OHPCA"	0	0	0	0
"72-2.1-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	72	"No wire"	"∆phz"	"Replicate 1"	"2-OHPCA"	0	0	0	0
"72-2.2-P"	"2025-03-21_72hr_NoWire+10%inoc∆phz_2_A-F"	72	"No wire"	"∆phz"	"Replicate 2"	"2-OHPCA"	0	0	0	0
"168-1.1-P"	"2025-03-25_168hr_Wire+10%inoc∆phz_1_A-F"	168	"Wire included"	"∆phz"	"Replicate 1"	"2-OHPCA"	0	0	0	0
