"fasta"	"scaffold"	"gene_position"	"start_position"	"end_position"	"strandedness"	"rank"	"ko_id"	"kegg_hit"	"uniref_id"	"uniref_hit"	"uniref_taxonomy"	"uniref_RBH"	"uniref_identity"	"uniref_bitScore"	"uniref_eVal"	"Gene_name"	"Corrosion_genes_id"	"Corrosion_genes_hit"	"Corrosion_genes_RBH"	"Corrosion_genes_identity"	"Corrosion_genes_bitScore"	"Corrosion_genes_eVal"	"heme_regulatory_motif_count"
"Geobacter_metallireducens_GS15"	"CP000148.1"	587	626056	629910	1	"B"	""	""	"Q39Y55_GEOMG"	"UniRef90_Q39Y55 Cytochrome c n=3 Tax=Geobacter TaxID=28231 RepID=Q39Y55_GEOMG"	"Geobacter"	TRUE	0.971	2625	0	"Gmet_0571"	"Q39Y60|Q39Y60_GEOMG"	"Q39Y60|Q39Y60_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0571 PE=4 SV=1"	FALSE	0.199	164	6.66e-43	13
"Geobacter_metallireducens_GS15"	"CP000148.1"	591	633595	636054	1	"B"	""	""	"Q39Y51_GEOMG"	"UniRef90_Q39Y51 Cytochrome c n=2 Tax=Geobacter TaxID=28231 RepID=Q39Y51_GEOMG"	"Geobacter"	TRUE	0.99	1714	0	"Gmet_0580"	"Q39Y51|Q39Y51_GEOMG"	"Q39Y51|Q39Y51_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0580 PE=4 SV=1"	TRUE	0.99	1714	0	13
"Geobacter_metallireducens_GS15"	"CP000148.1"	592	636152	644803	1	"B"	""	""	"Q39Y50_GEOMG"	"UniRef90_Q39Y50 Lipoprotein cytochrome c n=1 Tax=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) TaxID=269799 RepID=Q39Y50_GEOMG"	"Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15)"	TRUE	0.979	5947	0	"omcN"	"Q39Y50|Q39Y50_GEOMG"	"Q39Y50|Q39Y50_GEOMG Lipoprotein cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=omcN PE=4 SV=2"	TRUE	0.979	5947	0	27
"Geobacter_metallireducens_GS15"	"CP000148.1"	599	653772	655613	1	"B"	"K23424"	"protein O-mannosyl-transferase [EC:2.4.1.-]"	"Q39Y43_GEOMG"	"UniRef90_Q39Y43 TPR domain protein n=3 Tax=Geobacter TaxID=28231 RepID=Q39Y43_GEOMG"	"Geobacter"	TRUE	0.96	1239	0	"Gmet_2893"	"Q39RL3|Q39RL3_GEOMG"	"Q39RL3|Q39RL3_GEOMG Membrane protein, putative OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_2893 PE=4 SV=1"	FALSE	0.23	133	2.258e-34	0
"Geobacter_metallireducens_GS15"	"CP000148.1"	609	665619	668039	1	"B"	""	""	"A0A9W6G184_9BACT"	"UniRef90_A0A9W6G184 Cytochrome c n=6 Tax=Geobacter TaxID=28231 RepID=A0A9W6G184_9BACT"	"Geobacter"	TRUE	0.919	1551	0	"omcO"	"Q39Y73|Q39Y73_GEOMG"	"Q39Y73|Q39Y73_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=omcO PE=4 SV=1"	FALSE	0.162	65	3.025e-13	23
"Geobacter_metallireducens_GS15"	"CP000148.1"	610	668088	669170	1	"B"	""	""	"J7M081_GEOMG"	"UniRef90_J7M081 Cytochrome c n=3 Tax=Geobacter TaxID=28231 RepID=J7M081_GEOMG"	"Geobacter"	TRUE	0.992	756	2.713e-244	"Gmet_0571"	"Q39Y60|Q39Y60_GEOMG"	"Q39Y60|Q39Y60_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0571 PE=4 SV=1"	FALSE	0.271	116	2.695e-30	7
"Geobacter_metallireducens_GS15"	"CP000148.1"	611	669424	671562	1	"B"	""	""	"Q39Y31_GEOMG"	"UniRef90_Q39Y31 Cytochrome c n=3 Tax=Geobacter TaxID=28231 RepID=Q39Y31_GEOMG"	"Geobacter"	TRUE	0.965	1448	0	"mtrD"	"Q8EG30|Q8EG30_SHEON"	"Q8EG30|Q8EG30_SHEON Extracellular respiratory system periplasmic decaheme cytochrome c component MtrD OS=Shewanella oneidensis (strain ATCC 700550 / JCM 31522 / CIP 106686 / LMG 19005 / NCIMB 14063 / MR-1) OX=211586 GN=mtrD PE=4 SV=2"	FALSE	0.197	60	9.275e-12	19
"Geobacter_metallireducens_GS15"	"CP000148.1"	612	671608	672657	1	"B"	""	""	"Q39Y30_GEOMG"	"UniRef90_Q39Y30 Cytochrome c n=1 Tax=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) TaxID=269799 RepID=Q39Y30_GEOMG"	"Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15)"	TRUE	1	745	1.506e-240	"Gmet_0571"	"Q39Y60|Q39Y60_GEOMG"	"Q39Y60|Q39Y60_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0571 PE=4 SV=1"	FALSE	0.263	111	1.455e-28	7
"Geobacter_metallireducens_GS15"	"CP000148.1"	685	744858	746330	-1	"B"	""	""	"Q39XV3_GEOMG"	"UniRef90_Q39XV3 Cytochrome c n=4 Tax=Geobacter TaxID=28231 RepID=Q39XV3_GEOMG"	"Geobacter"	TRUE	0.991	1027	0	"Gmet_0679"	"Q39XV3|Q39XV3_GEOMG"	"Q39XV3|Q39XV3_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0679 PE=4 SV=1"	TRUE	0.991	1027	0	5
"Geobacter_metallireducens_GS15"	"CP000148.1"	833	910059	910976	1	"B"	""	""	"Q39XF7_GEOMG"	"UniRef90_Q39XF7 Cytochrome c n=3 Tax=Geobacter TaxID=28231 RepID=Q39XF7_GEOMG"	"Geobacter"	TRUE	1	677	6.593e-218	"Gmet_0825"	"Q39XF7|Q39XF7_GEOMG"	"Q39XF7|Q39XF7_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0825 PE=4 SV=1"	TRUE	1	677	2.415e-224	11
"Geobacter_metallireducens_GS15"	"CP000148.1"	835	912372	912842	1	"C"	""	""	"Q39XF5_GEOMG"	"UniRef90_Q39XF5 Lipoprotein cytochrome c n=6 Tax=Geobacter TaxID=28231 RepID=Q39XF5_GEOMG"	"Geobacter"	FALSE	1	340	2.688e-104	"Gmet_0909"	"Q39X73|Q39X73_GEOMG"	"Q39X73|Q39X73_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0909 PE=4 SV=1"	FALSE	0.356	67	6.94e-16	5
"Geobacter_metallireducens_GS15"	"CP000148.1"	918	1001995	1002750	1	"B"	""	""	"Q39X73_GEOMG"	"UniRef90_Q39X73 Cytochrome c n=3 Tax=Geobacter TaxID=28231 RepID=Q39X73_GEOMG"	"Geobacter"	TRUE	1	560	1.249e-178	"Gmet_0909"	"Q39X73|Q39X73_GEOMG"	"Q39X73|Q39X73_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0909 PE=4 SV=1"	TRUE	1	560	4.588e-185	9
"Geobacter_metallireducens_GS15"	"CP000148.1"	919	1002775	1004970	1	"B"	""	""	"Q39X72_GEOMG"	"UniRef90_Q39X72 Lipoprotein cytochrome c n=2 Tax=Geobacter TaxID=28231 RepID=Q39X72_GEOMG"	"Geobacter"	TRUE	0.98	1512	0	"Gmet_0910"	"Q39X72|Q39X72_GEOMG"	"Q39X72|Q39X72_GEOMG Lipoprotein cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0910 PE=4 SV=1"	TRUE	0.98	1512	0	10
"Geobacter_metallireducens_GS15"	"CP000148.1"	921	1006782	1007468	1	"B"	""	""	"Q39X70_GEOMG"	"UniRef90_Q39X70 Cytochrome c n=3 Tax=Geobacter TaxID=28231 RepID=Q39X70_GEOMG"	"Geobacter"	TRUE	1	510	1.031e-161	"Gmet_0912"	"Q39X70|Q39X70_GEOMG"	"Q39X70|Q39X70_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0912 PE=4 SV=1"	TRUE	1	510	3.791e-168	8
"Geobacter_metallireducens_GS15"	"CP000148.1"	922	1007498	1008970	1	"B"	""	""	"Q39X69_GEOMG"	"UniRef90_Q39X69 Lipoprotein cytochrome c n=1 Tax=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) TaxID=269799 RepID=Q39X69_GEOMG"	"Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15)"	TRUE	0.981	1015	0	"Gmet_0913"	"Q39X69|Q39X69_GEOMG"	"Q39X69|Q39X69_GEOMG Lipoprotein cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0913 PE=4 SV=1"	TRUE	0.981	1015	0	9
"Geobacter_metallireducens_GS15"	"CP000148.1"	939	1025438	1026907	1	"B"	""	""	"Q39X52_GEOMG"	"UniRef90_Q39X52 Cytochrome c n=2 Tax=Geobacter TaxID=28231 RepID=Q39X52_GEOMG"	"Geobacter"	TRUE	0.983	1016	0	"omcZ"	"Q39X52|Q39X52_GEOMG"	"Q39X52|Q39X52_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=omcZ PE=4 SV=1"	TRUE	0.983	1016	0	6
"Geobacter_metallireducens_GS15"	"CP000148.1"	1104	1212322	1212753	-1	"C"	""	""	"Q39WP6_GEOMG"	"UniRef90_Q39WP6 Lipoprotein cytochrome c n=3 Tax=Geobacter TaxID=28231 RepID=Q39WP6_GEOMG"	"Geobacter"	FALSE	0.957	290	5.077e-87	"Gmet_1088"	"Q39WP6|Q39WP6_GEOMG"	"Q39WP6|Q39WP6_GEOMG Lipoprotein cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_1088 PE=4 SV=1"	FALSE	0.957	290	1.876e-93	1
"Geobacter_metallireducens_GS15"	"CP000148.1"	1129	1235484	1236914	1	"B"	"K00436"	"NAD-reducing hydrogenase large subunit [EC:1.12.1.2]"	"Q39WM1_GEOMG"	"UniRef90_Q39WM1 Bidirectional NAD-reducing hydrogenase, large subunit n=4 Tax=Geobacter TaxID=28231 RepID=Q39WM1_GEOMG"	"Geobacter"	TRUE	0.977	982	3.33691937201178e-320	"hyaB"	"Q8EF87|Q8EF87_SHEON"	"Q8EF87|Q8EF87_SHEON Uptake hydrogenase large subunit OS=Shewanella oneidensis (strain ATCC 700550 / JCM 31522 / CIP 106686 / LMG 19005 / NCIMB 14063 / MR-1) OX=211586 GN=hyaB PE=3 SV=1"	FALSE	0.312	78	1.239e-17	0
"Geobacter_metallireducens_GS15"	"CP000148.1"	1211	1338005	1339183	-1	"B"	""	""	"Q39WE0_GEOMG"	"UniRef90_Q39WE0 Cytochrome c n=1 Tax=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) TaxID=269799 RepID=Q39WE0_GEOMG"	"Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15)"	TRUE	1	845	1.969e-274	"Gmet_0571"	"Q39Y60|Q39Y60_GEOMG"	"Q39Y60|Q39Y60_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0571 PE=4 SV=1"	FALSE	0.266	114	2.132e-29	7
"Geobacter_metallireducens_GS15"	"CP000148.1"	1415	1568489	1568698	1	"C"	"K02650"	"type IV pilus assembly protein PilA"	"Q39VU1_GEOMG"	"UniRef90_Q39VU1 Geopilin domain 1 protein n=2 Tax=Geobacter TaxID=28231 RepID=Q39VU1_GEOMG"	"Geobacter"	FALSE	0.888	130	5.46e-33	"pilA-N"	"Q39VU1|Q39VU1_GEOMG"	"Q39VU1|Q39VU1_GEOMG Geopilin domain 1 protein OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=pilA-N PE=4 SV=1"	FALSE	0.888	130	2.025e-39	0
"Geobacter_metallireducens_GS15"	"CP000148.1"	1416	1568751	1569092	1	"C"	""	""	"Q39VU0_GEOMG"	"UniRef90_Q39VU0 Geopilin domain 2 protein n=1 Tax=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) TaxID=269799 RepID=Q39VU0_GEOMG"	"Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15)"	FALSE	0.933	223	1.809e-64	"pilA-C"	"Q39VU0|Q39VU0_GEOMG"	"Q39VU0|Q39VU0_GEOMG Geopilin domain 2 protein OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=pilA-C PE=4 SV=1"	FALSE	0.933	223	6.695e-71	0
"Geobacter_metallireducens_GS15"	"CP000148.1"	1420	1571759	1573447	1	"B"	"K23424"	"protein O-mannosyl-transferase [EC:2.4.1.-]"	"Q39VT6_GEOMG"	"UniRef90_Q39VT6 Membrane protein, putative n=2 Tax=Geobacter TaxID=28231 RepID=Q39VT6_GEOMG"	"Geobacter"	TRUE	0.937	1106	0	"Gmet_2893"	"Q39RL3|Q39RL3_GEOMG"	"Q39RL3|Q39RL3_GEOMG Membrane protein, putative OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_2893 PE=4 SV=1"	FALSE	0.184	73	8.822e-16	0
"Geobacter_metallireducens_GS15"	"CP000148.1"	1767	1959952	1960959	1	"B"	""	""	"Q39UU9_GEOMG"	"UniRef90_Q39UU9 Lipoprotein cytochrome c n=4 Tax=Geobacteraceae TaxID=213422 RepID=Q39UU9_GEOMG"	"Geobacteraceae"	TRUE	1	738	1.651e-238	"dmsE"	"Q8EH05|Q8EH05_SHEON"	"Q8EH05|Q8EH05_SHEON Periplasmic decaheme cytochrome c DmsE OS=Shewanella oneidensis (strain ATCC 700550 / JCM 31522 / CIP 106686 / LMG 19005 / NCIMB 14063 / MR-1) OX=211586 GN=dmsE PE=4 SV=1"	FALSE	0.431	212	6.448e-63	9
"Geobacter_metallireducens_GS15"	"CP000148.1"	1889	2079506	2079934	-1	"C"	""	""	"Q39UH9_GEOMG"	"UniRef90_Q39UH9 Cytochrome c n=2 Tax=Geobacter TaxID=28231 RepID=Q39UH9_GEOMG"	"Geobacter"	FALSE	1	305	2.174e-92	"Gmet_1866"	"Q39UH9|Q39UH9_GEOMG"	"Q39UH9|Q39UH9_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_1866 PE=4 SV=1"	FALSE	1	305	8.032e-99	3
"Geobacter_metallireducens_GS15"	"CP000148.1"	1890	2079955	2081058	-1	"B"	""	""	"Q39UH8_GEOMG"	"UniRef90_Q39UH8 nitrite reductase (cytochrome; ammonia-forming) n=3 Tax=Geobacter TaxID=28231 RepID=Q39UH8_GEOMG"	"Geobacter"	TRUE	1	797	3.017e-258	"Gmet_1867"	"Q39UH8|Q39UH8_GEOMG"	"Q39UH8|Q39UH8_GEOMG nitrite reductase (cytochrome; ammonia-forming) OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_1867 PE=3 SV=1"	TRUE	1	797	1.102e-264	7
"Geobacter_metallireducens_GS15"	"CP000148.1"	1891	2081069	2081833	-1	"B"	""	""	"Q39UH7_GEOMG"	"UniRef90_Q39UH7 Cytochrome c n=2 Tax=Geobacter TaxID=28231 RepID=Q39UH7_GEOMG"	"Geobacter"	TRUE	1	540	1.902e-171	"Gmet_1868"	"Q39UH7|Q39UH7_GEOMG"	"Q39UH7|Q39UH7_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_1868 PE=4 SV=1"	TRUE	1	540	6.988e-178	4
"Geobacter_metallireducens_GS15"	"CP000148.1"	1950	2149315	2150127	1	"B"	""	""	"Q39UC1_GEOMG"	"UniRef90_Q39UC1 Menaquinol oxidoreductase complex Cbc3, cytochrome c subunit n=2 Tax=Geobacter metallireducens TaxID=28232 RepID=Q39UC1_GEOMG"	"Geobacter metallireducens"	TRUE	0.979	559	5.776e-178	"cbcX"	"Q39UC1|Q39UC1_GEOMG"	"Q39UC1|Q39UC1_GEOMG Menaquinol oxidoreductase complex Cbc3, cytochrome c subunit OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=cbcX PE=4 SV=1"	TRUE	0.979	559	2.121e-184	5
"Geobacter_metallireducens_GS15"	"CP000148.1"	2074	2299699	2300721	1	"B"	""	""	"Q39TZ7_GEOMG"	"UniRef90_Q39TZ7 Cytochrome c n=3 Tax=Geobacter TaxID=28231 RepID=Q39TZ7_GEOMG"	"Geobacter"	TRUE	1	740	4.324e-239	"Gmet_0825"	"Q39XF7|Q39XF7_GEOMG"	"Q39XF7|Q39XF7_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0825 PE=4 SV=1"	FALSE	0.204	61	1.874e-12	12
"Geobacter_metallireducens_GS15"	"CP000148.1"	2328	2608733	2610862	-1	"B"	""	""	"A0A9W6G3G2_9BACT"	"UniRef90_A0A9W6G3G2 Cytochrome c n=4 Tax=Geobacter TaxID=28231 RepID=A0A9W6G3G2_9BACT"	"Geobacter"	TRUE	1	1504	0	"omcO"	"Q39Y73|Q39Y73_GEOMG"	"Q39Y73|Q39Y73_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=omcO PE=4 SV=1"	FALSE	0.161	77	8.153e-17	27
"Geobacter_metallireducens_GS15"	"CP000148.1"	2499	2805938	2810461	-1	"B"	""	""	"Q39SS9_GEOMG"	"UniRef90_Q39SS9 Cytochrome c n=4 Tax=Geobacter TaxID=28231 RepID=Q39SS9_GEOMG"	"Geobacter"	TRUE	1	3260	0	"Gmet_2470"	"Q39SS9|Q39SS9_GEOMG"	"Q39SS9|Q39SS9_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_2470 PE=4 SV=1"	TRUE	1	3260	0	27
"Geobacter_metallireducens_GS15"	"CP000148.1"	2864	3218583	3219452	1	"B"	""	""	"Q39RR7_GEOMG"	"UniRef90_Q39RR7 Cytochrome c n=2 Tax=Geobacter TaxID=28231 RepID=Q39RR7_GEOMG"	"Geobacter"	TRUE	1	626	1.415e-200	"Gmet_0825"	"Q39XF7|Q39XF7_GEOMG"	"Q39XF7|Q39XF7_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_0825 PE=4 SV=1"	FALSE	0.444	189	9.118e-56	12
"Geobacter_metallireducens_GS15"	"CP000148.1"	2919	3273447	3274952	-1	"B"	"K23424"	"protein O-mannosyl-transferase [EC:2.4.1.-]"	"Q39RL3_GEOMG"	"UniRef90_Q39RL3 Membrane protein, putative n=2 Tax=Geobacter TaxID=28231 RepID=Q39RL3_GEOMG"	"Geobacter"	TRUE	0.926	965	8.13299999976108e-314	"Gmet_2893"	"Q39RL3|Q39RL3_GEOMG"	"Q39RL3|Q39RL3_GEOMG Membrane protein, putative OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_2893 PE=4 SV=1"	TRUE	0.926	965	2.95105410260977e-320	0
"Geobacter_metallireducens_GS15"	"CP000148.1"	2922	3278364	3279086	-1	"B"	""	""	"Q39RL0_GEOMG"	"UniRef90_Q39RL0 Cytochrome c n=2 Tax=Geobacter TaxID=28231 RepID=Q39RL0_GEOMG"	"Geobacter"	TRUE	0.955	484	1.993e-152	"Gmet_2896"	"Q39RL0|Q39RL0_GEOMG"	"Q39RL0|Q39RL0_GEOMG Cytochrome c OS=Geobacter metallireducens (strain ATCC 53774 / DSM 7210 / GS-15) OX=269799 GN=Gmet_2896 PE=4 SV=1"	TRUE	0.955	484	7.33e-159	4
